question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"ในขณะขับรถผู้ขับขี่ต้องมีเอกสารใดใช้คู่กับใบอนุญาตขับรถ",ในขณะขับรถผู้ขับขี่ต้องมีเอกสารสำเนาภาพถ่ายใบคู่มือจดทะเบียนรถใช้คู่กับใบอนุญาต   ขับรถ,บัตรประจำตัวประชาชน,false,สำเนาทะเบียนบ้าน,false,สำเนาภาพถ่ายใบคู่มือจดทะเบียนรถ,true,บัตรประกันสังคม,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถกระทำผิดตามกฎหมายจราจรทางบกและได้รับใบสั่งจากเจ้าพนักงานจราจรต้องไปติดต่อชำระค่าปรับภายในกี่วัน",ผู้ขับรถกระทำผิดตามกฎหมายจราจรทางบกและได้รับใบสั่งจากเจ้าพนักงานจราจร ต้องไปติดต่อชำระค่าปรับภายใน 7 วัน,10 วัน,false,7 วัน,true,15 วัน,false,30 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"เมื่อใบอนุญาตขับรถสูญหายหรือชำรุดต้องยื่นขอรับใบแทนต่อนายทะเบียนภายในกี่วัน",เมื่อใบอนุญาตขับรถสูญหายหรือชำรุดต้องยื่นขอรับใบแทนต่อนายทะเบียนภายใน 15 วัน,20 วัน,false,30 วัน,false,15 วัน,true,45 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถไม่มีใบอนุญาตขับรถ มีความผิดอย่างไร","ผู้ขับรถไม่มีใบอนุญาตขับรถ มีความผิดจำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",จำคุกไม่เกิน 1 ปี,false,"จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",true,"ปรับไม่เกิน 2,000 บาท",false,"ปรับไม่เกิน 5,000 บาท",false,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถชนิดชั่วคราวมีอายุกี่ปี",ใบอนุญาตขับรถชนิดชั่วคราวมีอายุ 1 ปี,2 ปี,false,1 ปี,true,3 ปี,false,4 ปี,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถใช้ใบอนุญาตขับรถที่สิ้นอายุมีความผิดอย่างไร","ผู้ขับรถใช้ใบอนุญาตขับรถที่สิ้นอายุ มีความผิดปรับไม่เกิน 2,000 บาท",ปรับไม่เกินห้าพันบาท,false,จำคุกไม่เกินสามเดือน,false,ปรับไม่เกินสองพันบาท,true,จำคุกไม่เกินหนึ่งเดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถที่ไม่เสียภาษีประจำปีภายในกำหนดจะต้องเสียเงินเพิ่มเท่าใด",รถที่ไม่เสียภาษีประจำปีภายในกำหนด จะต้องเสียเงินเพิ่มร้อยละ 1 ต่อเดือน,ร้อยละ 1 ต่อเดือน,true,ร้อยละ 1 ต่อปี,false,ร้อยละ 10 ต่อเดือน,false,ร้อยละ 20 ต่อปี,false,[  ],กฎหมายว่าด้วยรถยนต์
"การโอนรถต้องแจ้งต่อนายทะเบียนภายในกี่วัน",การโอนรถต้องแจ้งต่อนายทะเบียนภายใน 15 วัน,15 วัน,true,45 วัน,false,20 วัน,false,30 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"การเปลี่ยนสีรถต้องแจ้งต่อนายทะเบียนภายในกี่วัน",การเปลี่ยนสีรถต้องแจ้งต่อนายทะเบียนภายใน 7 วัน,7 วัน,true,10 วัน,false,15 วัน,false,20 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"การต่ออายุใบอนุญาตขับรถส่วนบุคคล (5 ปี) สามารถต่อก่อนล่วงหน้าได้เท่าใด",การต่ออายุใบอนุญาตขับรถส่วนบุคคล (5 ปี) สามารถต่อก่อนล่วงหน้าได้ 3 เดือน,3 เดือน,true,4 เดือน,false,6 เดือน,false,5 เดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถยนต์ที่มีอายุครบกี่ปีต้องนำไปตรวจสภาพรถก่อนเสียภาษีประจำปี",รถยนต์ที่มีอายุครบ 7 ปี ต้องนำไปตรวจสภาพรถก่อนเสียภาษีประจำปี,5 ปี,false,6 ปี,false,3 ปี,false,7 ปี,true,[  ],กฎหมายว่าด้วยรถยนต์
"การย้ายรถต้องแจ้งต่อนายทะเบียนภายในกี่วัน",การย้ายรถต้องแจ้งต่อนายทะเบียนภายใน 15 วัน,30 วัน,false,15 วัน,true,25 วัน,false,20 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถจักรยานยนต์ที่มีอายุครบกี่ปีต้องนำไปตรวจสภาพรถก่อนเสียภาษีประจำปี",รถจักรยานยนต์ที่มีอายุครบ 5 ปี ต้องนำไปตรวจสภาพรถก่อนเสียภาษีประจำปี,1 ปี,false,3 ปี,false,2 ปี,false,5 ปี,true,[  ],กฎหมายว่าด้วยรถยนต์
"ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถ"" หมายความว่า","ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถ"" หมายถึง รถยนต์ รถจักรยานยนต์ รถพ่วง รถบดถนน รถแทรกเตอร์ และรถอื่นที่กำหนดในกฎกระทรวง",รถยนต์ รถจักรยานยนต์ รถพ่วง รถบดถนน รถแทรกเตอร์ และรถอื่นที่กำหนดในกฎกระทรวง,true,รถยนต์ รถจักรยานยนต์ รถพ่วง,false,รถยนต์ รถจักรยานยนต์ รถพ่วง รถบดถนน รถแทรกเตอร์,false,รถยนต์ รถจักรยานยนต์ รถพ่วง รถแทรกเตอร์,false,[  ],กฎหมายว่าด้วยรถยนต์
"ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถยนต์"" หมายความว่า","ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถยนต์"" หมายถึง รถสาธารณะ รถยนต์บริการ และรถยนต์ส่วนบุคคล",รถสาธารณะ รถยนต์บริการ และรถยนต์ส่วนบุคคล รถแท็กซี่,false,รถสาธารณะ รถยนต์บริการ และรถจักรยานยนต์ส่วนบุคคล,false,รถจักรยานยนต์สาธารณะ รถยนต์บริการ และรถจักรยานยนต์ส่วนบุคคล,false,รถสาธารณะ รถยนต์บริการ และรถยนต์ส่วนบุคคล,true,[  ],กฎหมายว่าด้วยรถยนต์
"ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถจักรยานยนต์"" หมายความว่า","ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถจักรยานยนต์"" หมายถึง รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้าและมีล้อไม่เกินสองล้อ ถ้ามีถ่วงข้างมีล้ออีกไม่เกินหนึ่งล้อ",รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้าและมีล้อไม่เกินสองล้อ ถ้ามีถ่วงข้างมีล้ออีกไม่เกินหนึ่งล้อ,true,รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้าและมีล้อไม่เกินสองล้อ,false,รถที่เดินรถกำลังเครื่องยนต์มีล้อไม่เกินสองล้อ,false,รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้าและมีล้อเกินสองล้อ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดไม่ใช่ ""รถยนต์รับจ้างสาธารณะ""","รถจักรยานยนต์ส่วนบุคคล  ไม่ใช่ ""รถยนต์รับจ้างสาธารณะ""",รถแท็กซี่,false,รถจักรยานยนต์ส่วนบุคคล,true,รถจักรยานยนต์รับจ้างสาธารณะ,false,รถสามล้อรับจ้างสาธารณะ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถยนต์บริการ"" หมายความว่า","ตาม พ.ร.บ.รถยนต์ พ.ศ.2522 ""รถยนต์บริการ"" หมายถึง รถยนต์บรรทุกคนโดยสารหรือให้เช่าซึ่งบรรทุกคนโดยสารไม่เกินเจ็ดคน",รถยนต์ให้เช่าซึ่งบรรทุกคนโดยสารไม่เกินเจ็ดคน,false,รถยนต์บรรทุกคนโดยสารซึ่งบรรทุกคนโดยสารไม่เกินเจ็ดคน,false,รถยนต์บรรทุกคนโดยสารหรือให้เช่าซึ่งบรรทุกคนโดยสารไม่เกินเจ็ดคน,true,รถยนต์บรรทุกคนโดยสารหรือให้เช่าซึ่งบรรทุกคนโดยสารเกินเจ็ดคน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดคือ ""รถยนต์ส่วนบุคคล""","รถจัการยานยต์ส่วนบุคคล คือ ""รถยนต์ส่วนบุคคล""",รถจักรยานยนต์ส่วนบุคคล,true,รถแท็กซี่,false,รถสามล้อรับจ้างสาธารณะ,false,รถยนต์ป้ายแดง,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถที่นำมาใช้บนถนนต้องมีลักษณะอย่างไร",รถที่นำมาใช้บนถนนต้องจดทะเบียนและชำระภาษีเรียบร้อยแล้ว,รถที่โคมไฟหน้าไม่ติด,false,รถที่มีเสียงดัง 90 เดซิเบล A,false,รถที่มีควันดำ 55  เปอร์เซ็นต์,false,รถที่จดทะเบียนและชำระภาษีเรียบร้อยแล้ว,true,[  ],กฎหมายว่าด้วยรถยนต์
"รถที่สามารถนำมาจดทะเบียนต้องมีลักษณะอย่างใด",รถที่สามารถนำมาจดทะเบียนต้องมีอุปกรณ์ส่วนควบถูกต้องและผ่านการตรวจสภาพรถ,รถต้องมีอุปกรณ์ส่วนควบถูกต้องและผ่านการตรวจสภาพรถ,true,รถต้องมีอุปกรณ์ส่วนควบถูกต้อง,false,รถที่ซื้อจากศูนย์จำหน่ายรถทั่วไป,false,รถที่ผ่านการตรวจสภาพรถจาก สภานตรวจภาพรถเอกชน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องจดทะเบียน",รถสำหรับเฉพาะพระองค์พระบาทสมเด็จพระเจ้าอยู่หัว ได้รับการยกเว้นไม่ต้องจดทะเบียน,รถของวัด,false,รถของมูลนิธิ,false,รถสำหรับเฉพาะพระองค์พระบาทสมเด็จพระเจ้าอยู่หัว,true,รถของผู้บัญชาการทหารสูงสุด,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องจดทะเบียน",รถของกรมตำรวจที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่อธิบดีกำหนด ได้รับการยกเว้นไม่ต้องจดทะเบียน,รถของวัด,false,รถของกรมตำรวจที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่อธิบดีกำหนด,true,รถของสภากาชาดไทย,false,รถของมูลนิธิเพื่อนพึ่งภายามยาก,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องจดทะเบียน",รถได้รับการยกเว้นไม่ต้องจดทะเบียน ได้แก่ รถสำหรับเฉพาะพระองค์พระบาทสมเด็จพระเจ้าอยู่หัว รถของกรมตำรวจที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่อธิบดีกำหนด รถของสำนักพระราชวังที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่เลขาธิการพระราชวังกำหนด,รถของสำนักพระราชวังที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่เลขาธิการพระราชวังกำหนด,false,รถสำหรับเฉพาะพระองค์พระบาทสมเด็จพระเจ้าอยู่หัว,false,รถของกรมตำรวจที่จดทะเบียนและมีเครื่องหมายตามระเบียบที่อธิบดีกำหนด,false,ทุกข้อถูกต้อง,true,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องจดทะเบียน",รถที่เจ้าของรถแจ้งการไม่ใช้รถ ได้รับการยกเว้นไม่ต้องจดทะเบียน,รถที่เจ้าของรถแจ้งการไม่ใช้รถ,true,รถยนต์นำเข้า,false,รถสามล้อส่วนบุคคล,false,รถจักรยานยนต์นำมาใช้ในหมู่บ้าน,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องจดทะเบียน",รถที่ผู้ผลิตหรือประกอบเพื่อจำหน่ายหรือที่ผู้นำเข้าเพื่อจำหน่าย ผลิต ประกอบหรือนำเจ้า และยังมิได้จำหน่ายให้แก่ผู้อื่นได้รับการยกเว้นไม่ต้องจดทะเบียน,รถที่ผู้ผลิตหรือประกอบเพื่อจำหน่ายหรือที่ผู้นำเข้าเพื่อจำหน่าย ผลิต ประกอบหรือนำเจ้า และยังมิได้จำหน่ายให้แก่ผู้อื่น,true,รถสามล้อส่วนบุคคล,false,รถจักรยานยนต์นำมาใช้ในหมู่บ้าน,false,รถของวัด,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถดับเพลิง ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถยนต์รับจ้าง,false,รถจักรยานยนต์ส่วนบุคคล,false,รถดับเพลิง,true,รถตู้ส่วนบุคคล,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถพยาบาลที่มิใช่เป็นรถสำหรับรับจ้าง ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถพยาบาลที่มิใช่เป็นรถสำหรับรับจ้าง,true,รถจักรยานยนต์ส่วนบุคคล,false,รถจักรยานยนต์ส่วนบุคคล,false,รถตู้ส่วนบุคคล,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถของกระทรวง ทบวง กรม เทศบาล องค์การบริหารส่วนจังหวัด สุขาภิบาล กรุงเทพมหานคร เมืองพัทยา และราชการส่วนท้องถิ่นที่เรียกชื่ออย่างอื่น ทั้งนี้ เฉพาะรถที่ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถมิได้ใช้ในทางการค้าหรือกำไร,รถตู้ส่วนบุคคล,false,รถของมูลนิธิ,false,รถของวัด,false,รถของกระทรวง ทบวง กรม เทศบาล องค์การบริหารส่วนจังหวัด สุขาภิบาล กรุงเทพมหานคร เมืองพัทยา และราชการส่วนท้องถิ่นที่เรียกชื่ออย่างอื่น ทั้งนี้ เฉพาะรถที่มิได้ใช้ในทางการค้าหรือกำไร,true,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถบดของรัฐวิสาหกิจ ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถบดถนนของเอกชน,false,รถบดของรัฐวิสาหกิจ,true,รถแทรกเตอร์ของเอกชน,false,รถแทรเตอร์ส่วนบุคคล,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถแทรกเตอร์ของรัฐวิสาหกิจ ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถแทรกเตอร์ของเอกชน,false,รถแทรกเตอร์ของรัฐวิสาหกิจ,true,รถบดถนนของเอกชน,false,รถบดถนนของผู้ว่าราชการจังหวัด,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถของสภากาชาดไทย ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถของสภากาชาดไทย,true,รถของมูลนิธิร่วมกตัญญู,false,รถของวัด,false,รถของมูลนิธ่สายใจไทย,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถของบุคคลในคณะผู้แทนทางการทูต ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถของบุคคลในคณะผู้แทนทางการทูต,true,รถของมูลนิธิร่วมกตัญญู,false,รถของวัด,false,รถของมูลนิธิสายใจไทย,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถต่อไปนี้ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ",รถดับเพลิงของ อบต. ได้รับการยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นแต่ค่าธรรมเนียมแผ่นป้ายทะเบียนรถ,รถดับเพลิงของ อบต.,true,รถตู้ส่วนบุคคล,false,รถตู้รับจ้าง,false,รถจักรยานยนต์ส่วนบุคคล,false,[  ],กฎหมายว่าด้วยรถยนต์
"ประสงค์จดทะเบียนรถต้องยื่นคำขอที่ใด",ประสงค์จดทะเบียนรถต้องยื่นคำขอต่อนายทะเบียนแห่งท้องที่ที่ตนมีภูมิลำเนา,ยื่นคำขอต่อนายทะเบียนที่สำนักงานขนส่งจังหวัดทุกแห่ง,false,ยื่นคำขอต่อนายทะเบียนแห่งท้องที่ที่ตนมีภูมิลำเนา,true,ยื่นคำขอต่อนายทะเบียนที่กรมการขนส่งทางบก,false,ยื่นคำขอต่อนายทะเบียนตามสถานที่ตั้งที่จำหน่ายรถนั้น ๆ,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถที่จดทะเบียนแล้ว หากประสงค์จะเปลี่ยนสีรถต้องดำเนินการอย่างไร",รถที่จดทะเบียนแล้ว หากประสงค์จะเปลี่ยนสีรถต้องดำเนินการแจ้งนายทะเบียนภายใน 7 วัน,ดำเนินการเปลี่ยนสีได้ทันที,false,แจ้งนายทะเบียนภายใน 15 วัน,false,แจ้งนายทะเบียนภายใน 30 วัน,false,แจ้งนายทะเบียนภายใน 7 วัน,true,[  ],กฎหมายว่าด้วยรถยนต์
"หากประสงค์เปลี่ยนแปลงตัวถังรถต้องดำเนินการอย่างไร",หากประสงค์เปลี่ยนแปลงตัวถังรถต้องดำเนินการขออนุญาตนายทะเบียน ตามภูมิลำเนาที่จดทะเบียนรถ,เปลี่ยนแปลงแล้ว จึงจะมาดำเนินการที่สำนักงานขนส่ง,false,ขออนุญาตนายทะเบียน ตามภูมิลำเนาที่จดทะเบียนรถ,true,ต้องแจ้งเปลี่ยนแปลงภายใน 15 วัน,false,ไม่ต้องแจ้งการเปลี่ยนแปลงเพราะไม่ใช่สาระสำคัญของตัวรถ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ตรวจการตาม พ.ร.บ. รถยนต์ คือใคร",ผู้ตรวจการตาม พ.ร.บ. รถยนต์ คือ เจ้าหน้าที่กรมการขนส่งทางบก ที่รัฐมนตรีว่าการกระทรวงคมนาคมแต่งตั้ง,เจ้าหน้าที่กรมการขนส่งทางบก ที่รัฐมนตรีว่าการกระทรวงคมนาคมแต่งตั้ง,true,เจ้าหน้าที่กรมการขนส่งทางบก,false,เจ้าหน้าที่ บริษัทขนส่ง จำกัด,false,เจ้าหน้าที่กรมการขนส่งทางบก และเจ้าหน้าที่ตำรวจ,false,[  ],กฎหมายว่าด้วยรถยนต์
"หากประสงค์จะย้ายรถ เจ้าของรถต้องแจ้งย้ายรถต่อนายทะเบียนภายในกี่วัน",หากประสงค์จะย้ายรถ เจ้าของรถต้องแจ้งย้ายรถต่อนายทะเบียนภายใน 15 วัน,30 วัน,false,7 วัน,false,15 วัน,true,60 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีเจ้าของรถมีภารกิจไม่สามารถมาดำเนินแจ้งย้ายรถต่อนายทะเบียนภายในเวลาที่กฎหมายกำหนด ข้อใดถูกต้อง",กรณีเจ้าของรถมีภารกิจไม่สามารถมาดำเนินแจ้งย้ายรถต่อนายทะเบียนภายในเวลาที่กฎหมายกำหนด มีความผิด ต้องชำระค่าปรับแจ้งย้ายเกินกำหนด,มีความผิด ต้องชำระค่าปรับแจ้งย้ายเกินกำหนด,true,ไม่เสียค่าปรับ เนื่องจากจำเป็น,false,รถไม่สามารถแจ้งย้ายได้,false,ผิดทุกข้อ,false,[  ],กฎหมายว่าด้วยรถยนต์
"หากประสงค์จะโอนรถเจ้าของรถต้องแจ้งโอนรถต่อนายทะเบียนภายในกี่วัน",หากประสงค์จะโอนรถเจ้าของรถต้องแจ้งโอนรถต่อนายทะเบียนภายใน 15 วัน,60 วัน,false,25 วัน,false,30 วัน,false,15 วัน,true,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีเจ้าของรถมีภารกิจไม่สามารถมาดำเนินแจ้งโอนรถต่อนายทะเบียนภายในเวลาที่กฎหมายกำหนด ข้อใดถูกต้อง",กรณีเจ้าของรถมีภารกิจไม่สามารถมาดำเนินแจ้งโอนรถต่อนายทะเบียนภายในเวลาที่กฎหมายกำหนด มีความผิด ต้องชำระค่าปรับโอนเกินกำหนด,ไม่เสียค่าปรับ เนื่องจากจำเป็น,false,มีความผิด ต้องชำระค่าปรับโอนเกินกำหนด,true,รถไม่สามารถแจ้งย้ายได้,false,ผิดทุกข้อ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดผิด",รถยนต์ส่วนบุคคล นำมาใช้รับจ้างไม่ได้,รถยนต์ส่วนบุคคล นำมาใช้รับจ้างได้,true,รถจักรยานยนต์ส่วนบุคคล ห้ามนำมาใช้ในการรับจ้างบรรทุกผู้โดยสาร,false,รถจักรยานยนต์สาธารณะ ใช้เพื่อการรับจ้างบรรทุกผู้โดยสาร,false,รถจักรยานยนต์สาธารณะ ใช้ในกิจการส่วนตัวได้,false,[  ],กฎหมายว่าด้วยรถยนต์
"นาย ก นำรถจักรยานยนต์สาธารณะของตนเองรับส่งภรรยาไปตลาดได้หรือไม่อย่างไร",นาย ก นำรถจักรยานยนต์สาธารณะของตนเองรับส่งภรรยาไปตลาดได้เพราะรถจักรยานยนต์สาธารณะสามารถนำมาใช้กิจการส่วนตัวของเจ้าของรถได้,ได้ เพราะภรรยานาย ก เป็นคนในครอบครัว,false,ได้ เพราะรถจักรยานยนต์สาธารณะสามารถนำมาใช้กิจการส่วนตัวของเจ้าของรถได้,true,ไม่ได้ เพราะรถจักรยานยนต์สาธารณะต้องนำมารับจ้างเท่านั้น,false,ไม่ได้ เพราะ รถจักรยานยนต์สาธารณะห้ามใช้ในกิจการส่วนบุคคลของเจ้าของรถ,false,[  ],กฎหมายว่าด้วยรถยนต์
"รถประเภทใดต่อไปนี้ใช้รับจ้างบรรทุกคนโดยสารได้",รถจักรยานยนต์สาธารณะใช้รับจ้างบรรทุกคนโดยสารได้,รถจักรยานยนต์สาธารณะ,true,รถจักรยานยนต์ส่วนบุคคล,false,รถยนต์ส่วนบุคคล,false,รถตู้ส่วนบุคคล,false,[  ],กฎหมายว่าด้วยรถยนต์
