choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,category,question,images.0,answer
"ก เพิ่มความระมัดระวัง แล้วหยุดรถ",false,ข เพิ่มความระมัดระวัง เขตหยุดรับ-ส่ง,false,ค ขับรถให้ช้าลงถ้าเห็นว่าจะไม่ปลอดภัยต่อรถคันอื่นหรือคนเดินเท้าในทางข้างหน้า ต้องหยุดรถก่อนถึงเส้นให้ทาง,true,ง เพิ่มความระมัดระวัง แล้วจอดรถ,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร?,1.3.1.jpg,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องขับรถให้ช้าลงถ้าเห็นว่าจะไม่ปลอดภัยต่อรถคันอื่นหรือคนเดินเท้าในทางข้างหน้า ต้องหยุดรถก่อนถึงเส้นให้ทาง
"ก เส้นชะลอความเร็ว",true,ข ให้เลี้ยวรถได้,false,ค ห้ามเลี้ยวรถ,false,ง ให้จอดรถได้,false,เครื่องหมายพื้นทาง,เครื่องหมายนี้ คือเครื่องหมายอะไร?,1.3.2.jpg,เครื่องหมายนี้ คือ เครื่องหมายเส้นชะลอความเร็ว
"ก ห้ามเลี้ยวซ้ายหรือเลี้ยวขวา",false,ข ห้ามขับรถตรงไปหรือเลี้ยวขวา,false,ค ให้ขับรถไปทางเดียวด้านซ้าย,false,ง รถที่อยู่ด้านเส้นทึบห้ามผ่านหรือคร่อมเส้นทึบ แต่รถที่อยู่ด้านเส้นประอาจแซงได้เมื่อเห็นว่าปลอดภัย,true,เครื่องหมายพื้นทาง,เครื่องหมายนี้ หมายความว่าอย่างไร?,1.3.3.jpg,เครื่องหมายนี้ หมายความว่า รถที่อยู่ด้านเส้นทึบห้ามผ่านหรือคร่อมเส้นทึบ แต่รถที่อยู่ด้านเส้นประอาจแซงได้เมื่อเห็นว่าปลอดภัย
"ก สามารถเปลี่ยนช่องเดินรถหรือช่องจราจรหรือสามารถแซงได้",true,ข ห้ามขับรถตรงไปหรือเลี้ยวขวา ห้ามเปลี่ยนช่องการจราจร,false,ค ห้ามเลี้ยวซ้ายหรือเลี้ยวขวา ห้ามเปลี่ยนช่องการจราจร,false,ง ให้ขับรถไปทางเดียวด้านซ้าย ห้ามเปลี่ยนช่องการจราจร,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร?,1.3.4.jpg,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่สามารถเปลี่ยนช่องเดินรถหรือช่องจราจร หรือสามารถแซงได้
"ก ให้ผู้ขับขี่ชะลอความเร็วลง และรีบเร่งเครื่องไปก่อน",false,ข ขับรถให้ช้าลง หากเห็นรถคันอื่นหรือคนเดินเท้าในทางขวางหน้า ต้องหยุดรถก่อนถึงแนวเส้นให้ทาง,true,ค ให้ผู้ขับขี่ขับรถอย่างรวดเร็ว,false,ง ให้ผู้ขับขี่ ขับรถให้ช้าลง แล้วแซงได้,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร?,1.3.5.jpg,เมื่อพบเครื่องหมายนี้ ให้ผู้ขับขี่ขับรถให้ช้าลง หากเห็นรถคันอื่นหรือคนเดินเท้าในทางขวางหน้า ต้องหยุดรถก่อนถึงแนวเส้นให้ทาง
"ก ให้จอดรถทับเส้นได้ตลอดเวลา",false,ข เขตหยุดรับ-ส่ง ได้ตลอดเวลา,false,ค ให้หยุดรถก่อนถึงเส้นแนวหยุดหรือเส้นให้ทาง เพื่อให้คนเดินเท้าข้ามทางผ่านไปก่อน,true,ง ให้หยุดรถทับเส้นได้ตลอดเวลา,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร?,1.3.6.jpg,เมื่อพบเครื่องหมายนี้ ให้ผู้ขับขี่หยุดรถก่อนถึงเส้นแนวหยุดหรือเส้นให้ทาง เพื่อให้คนเดินเท้าข้ามทางผ่านไปก่อน
"ก ขับรถภายในช่องจราจร ห้ามแซง ห้ามขับรถผ่านหรือคร่อมเส้นโดยเด็ดขาด",true,ข ขับรถให้ช้าลง ให้เลี้ยวขวา,false,ค ขับรถไปทางด้านขวา ให้เลี้ยวซ้าย,false,ง เพิ่มความระมัดระวัง ห้ามเลี้ยวซ้าย,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร,1.3.7.jpg,เมื่อพบเครื่องหมายนี้ ให้ผู้ขับขี่ขับรถภายในช่องจราจร ห้ามแซง ห้ามขับรถผ่านหรือคร่อมเส้นโดยเด็ดขาด
"ก เพิ่มความระมัดระวัง และห้ามแซง",false,ข ขับรถในช่องการจราจร ห้ามคร่อมเส้น แต่แซงได้,true,ค เพิ่มความระมัดระวัง ห้ามเปลี่ยนช่องการจราจร,false,ง ขับรถให้ช้าลง ขับรถคร่อมเส้นได้,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร,1.3.8.jpg,เมื่อพบเครื่องหมายนี้ ให้ผู้ขับขี่ขับรถในช่องการจราจร ห้ามคร่อมเส้น แต่แซงได้
"ก ให้ผู้ขับขี่ขับรถอย่างรวดเร็ว เส้นให้ไปได้ทันที",false,ข ให้ผู้ขับขี่ ขับรถให้ช้าลง แล้ว แซงได้,false,ค ให้หยุดรถก่อนถึงแนวเส้นขวางทุกครั้ง,true,ง ให้ผู้ขับขี่ชะลอความเร็วลง และรีบเร่งเครื่องไปก่อน,false,เครื่องหมายพื้นทาง,เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ควรปฏิบัติอย่างไร,1.3.9.jpg,เมื่อพบเครื่องหมายนี้ ให้ผู้ขับขี่หยุดรถก่อนถึงแนวเส้นขวางทุกครั้ง
"ก เขตหยุดรถ",false,ข เขตหยุดรับ-ส่ง,false,ค เขตปลอดภัย,true,ง เขตจอดรถ,false,เครื่องหมายพื้นทาง,เครื่องหมายนี้ คือเครื่องหมายอะไร,1.3.10.jpg,เครื่องหมายนี้ คือ เครื่องหมายเขตปลอดภัย
"ก ห้ามหยุดรถทุกชนิดภายในกรอบเส้นทแยง ห้ามหยุดรถยกเว้นรถที่หยุดรอเพื่อเลี้ยวขวา",true,ข รถยนต์ทุกชนิด จอดรถได้,false,ค รถยนต์ทุกชนิด หยุดรถได้,false,ง รถยนต์ทุกชนิด กลับรถได้,false,เครื่องหมายพื้นทาง,เครื่องหมายนี้ หมายความว่าอย่างไร,1.3.11.jpg,เครื่องหมายนี้ หมายความว่า ห้ามหยุดรถทุกชนิดภายในกรอบเส้นทะแยงห้ามหยุดรถ ยกเว้นรถที่หยุดรอเพื่อเลี้ยวขวา
